Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00   4318.77     0.04                             random_uniform (uni.c:28 @ 401000)
  0.00   4318.80     0.04                             percolate (percolate.c:125 @ 40191b)
  0.00   4318.84     0.04 25000000     1.40     1.40  random_uniform (uni.c:23 @ 400fbe)
  0.00   4318.87     0.04                             percolate (percolate.c:303 @ 4023b3)
  0.00   4318.91     0.04                             random_uniform (uni.c:29 @ 401016)
  0.00   4318.94     0.03                             percolate (percolate.c:188 @ 401de3)
  0.00   4318.97     0.03                             percolate (percolate.c:249 @ 402144)
  0.00   4319.00     0.03                             percolate (percolate.c:296 @ 4023e0)
  0.00   4319.03     0.03                             random_uniform (uni.c:35 @ 40109f)
  0.00   4319.05     0.03                             clustcompare (percolate.c:328 @ 40248c)
  0.00   4319.08     0.03                             percolate (percolate.c:131 @ 4018f1)
  0.00   4319.10     0.03                             percolate (percolate.c:191 @ 401e31)
  0.00   4319.13     0.03                             percolate (percolate.c:251 @ 4020da)
  0.00   4319.15     0.02                             percolate (percolate.c:127 @ 4018d3)
  0.00   4319.17     0.02                             percolate (percolate.c:145 @ 4019c8)
  0.00   4319.19     0.02                             percolate (percolate.c:157 @ 401a2d)
  0.00   4319.21     0.02                             percolate (percolate.c:186 @ 401e4e)
  0.00   4319.23     0.02                             percolate (percolate.c:225 @ 401fa9)
  0.00   4319.25     0.02                             percolate (percolate.c:241 @ 4020af)
  0.00   4319.27     0.02                             percolate (percolate.c:310 @ 4023c7)
  0.00   4319.29     0.02                             random_uniform (uni.c:32 @ 40104f)
  0.00   4319.30     0.02                             random_uniform (uni.c:34 @ 401072)
  0.00   4319.31     0.01                             clustcompare (percolate.c:335 @ 4024b0)
  0.00   4319.32     0.01                             percolate (percolate.c:130 @ 4018ed)
  0.00   4319.33     0.01                             percolate (percolate.c:186 @ 401dda)
  0.00   4319.34     0.01                             percolate (percolate.c:241 @ 402055)
  0.00   4319.35     0.01                             percolate (percolate.c:249 @ 4020d1)
  0.00   4319.36     0.01                             percolate (percolate.c:266 @ 4021e4)
  0.00   4319.37     0.01                             percolate (percolate.c:264 @ 402210)
  0.00   4319.38     0.01                             random_uniform (uni.c:30 @ 40102c)
  0.00   4319.39     0.01                             random_uniform (uni.c:38 @ 4010f1)
  0.00   4319.40     0.01                             random_uniform (uni.c:39 @ 4010f6)
  0.00   4319.41     0.01                             arralloc (arralloc.c:149 @ 400fbc)
  0.00   4319.41     0.01                             percolate (percolate.c:190 @ 401e2a)
  0.00   4319.42     0.01                             percolate (percolate.c:225 @ 401f64)
  0.00   4319.42     0.01                             percolate (percolate.c:296 @ 402336)
  0.00   4319.43     0.01                             percolate (percolate.c:301 @ 4023a8)
  0.00   4319.43     0.00        4     0.00     0.00  subarray (arralloc.c:52 @ 400bb6)
  0.00   4319.43     0.00        3     0.00     0.00  arralloc (arralloc.c:95 @ 400d0e)
  0.00   4319.43     0.00        1     0.00     0.00  percolate (percolate.c:105 @ 4017e7)
  0.00   4319.43     0.00        1     0.00     0.00  percsort (percolate.c:344 @ 4024c0)
  0.00   4319.43     0.00        1     0.00     0.00  rinit (uni.c:87 @ 401294)
  0.00   4319.43     0.00        1     0.00     0.00  rstart (uni.c:42 @ 4010f8)
